id,category_1,category_2,category_3,color_type,life_style,fabric,weight_of_fabric,neck_style,form_type,sleeve_type,washing_style,fabric_type
75,T-shirts,MENSWEAR,Trendy Shirts,Blue,Daily,versatile,Medium,Bycyle,Wide,Short,washless,Cotton
76,T-shirts,MENSWEAR,Long Sleeves,Blue,Daily,versatile,,Bendy,Wide,Long,washless,Cotton
77,T-shirts,MENSWEAR,Trendy Shirts,Black,Urban Style,versatile,,Bycyle,Wide,Short,washless,Cotton
78,T-shirts,MENSWEAR,Trendy Shirts,Blue,Daily,versatile,,Bycyle,Wide,Short,Mid,Cotton
79,T-shirts,MENSWEAR,Long Sleeves,Blue,Daily,versatile,,Bycyle,Wide,Long,washless,Cotton
80,T-shirts,MENSWEAR,Long Sleeves,Green,Daily,versatile,,Bendy,Normal,Long,washless,Cotton
81,T-shirts,MENSWEAR,Long Sleeves,Black,Daily,versatile,Medium,Bendy,Normal,Long,washless,Cotton
82,T-shirts,MENSWEAR,Long Sleeves,Grey,Daily,versatile,Heavy,Bycyle,Normal,Long,washless,Cotton
83,T-shirts,MENSWEAR,Long Sleeves,Black,Daily Sunday,versatile,Medium,Bycyle,Normal,Long,washless,Cotton
84,T-shirts,MENSWEAR,Long Sleeves,Grey,Daily Sunday,versatile,Medium,Bendy,Normal,Long,washless,Cotton
85,T-shirts,MENSWEAR,Long Sleeves,Yellow,Daily,versatile,,Bendy,Very Large,Long,washless,Cotton
86,T-shirts,MENSWEAR,Long Sleeves,Black,Daily,versatile,Medium,Bendy,Normal,Long,washless,Cotton
87,T-shirts,MENSWEAR,Long Sleeves,White,Daily,versatile,,Bendy,Normal,Long,washless,Cotton
88,T-shirts,MENSWEAR,Long Sleeves,Red,Daily,,,Bendy,Normal,Long,washless,Cotton
89,T-shirts,MENSWEAR,Trendy Shirts,Green,Daily,versatile,Light,Bycyle,Wide,Short,washless,Cotton
90,T-shirts,MENSWEAR,Trendy Shirts,Grey,Urban Style,versatile,,Bycyle,Wide,Short,washless,Cotton
91,T-shirts,MENSWEAR,Trendy Shirts,Grey,Urban Style,versatile,,Bycyle,Very Large,Short,washless,Cotton
92,T-shirts,MENSWEAR,Trendy Shirts,White,Urban Style,versatile,,Bycyle,Wide,Short,washless,Cotton
93,T-shirts,MENSWEAR,Trendy Shirts,White,Urban Style,versatile,,Bycyle,Wide,Long,washless,Cotton
94,T-shirts,MENSWEAR,Long Sleeves,White,Daily,versatile,,Bendy,Wide,Long,,Cotton
95,T-shirts,MENSWEAR,Trendy Shirts,Black,Urban Style,versatile,,Bendy,Wide,Short,washless,Cotton
96,T-shirts,MENSWEAR,Long Sleeves,Blue,Daily,versatile,,High,Normal,Long,washless,Cotton
97,T-shirts,MENSWEAR,Trendy Shirts,White,Daily,versatile,,Bycyle,Normal,Long,washless,Cotton
98,T-shirts,MENSWEAR,Long Sleeves,Blue,Daily,versatile,,Bendy,Very Large,Long,washless,Cotton
99,T-shirts,MENSWEAR,Long Sleeves,Blue,Daily,versatile,Medium,Bendy,Normal,Long,washless,Cotton
100,T-shirts,MENSWEAR,Long Sleeves,Blue,Daily Sunday,versatile,Medium,Bycyle,Normal,Long,washless,Cotton
101,T-shirts,MENSWEAR,Long Sleeves,Black,Designment,versatile,Medium,Bycyle,Normal,Long,washless,Cotton
102,T-shirts,MENSWEAR,Long Sleeves,Red,Business Based,versatile,Heavy,Bendy,Normal,Long,washless,Cotton
103,T-shirts,MENSWEAR,Long Sleeves,White,Daily,versatile,Medium,Bendy,Normal,Long,washless,Cotton
104,T-shirts,MENSWEAR,Long Sleeves,Blue,Daily,versatile,,Bendy,Normal,Long,washless,Cotton
105,T-shirts,MENSWEAR,Long Sleeves,Blue,Daily,versatile,Medium,Bendy,Normal,Long,washless,Cotton
106,T-shirts,MENSWEAR,Long Sleeves,Blue,Daily,versatile,,Bendy,Normal,Long,washless,Cotton
107,T-shirts,MENSWEAR,Long Sleeves,Grey,Daily,versatile,,Bycyle,Normal,Long,washless,Cotton
108,T-shirts,MENSWEAR,Long Sleeves,Purple,Daily,versatile,,Bycyle,Normal,Long,washless,Cotton
109,T-shirts,MENSWEAR,Long Sleeves,White,Daily Sunday,versatile,Medium,Bendy,Normal,Long,washless,Cotton
110,T-shirts,MENSWEAR,Trendy Shirts,Red,Urban Style,versatile,,Bycyle,Very Large,Short,Mid,Cotton
111,T-shirts,MENSWEAR,Trendy Shirts,Black,Urban Style,versatile,,Bycyle,Very Large,Long,washless,Cotton
112,T-shirts,MENSWEAR,Trendy Shirts,Grey,Daily,versatile,,Bycyle,Normal,Short,washless,Cotton
113,T-shirts,MENSWEAR,Trendy Shirts,Blue,Daily,versatile,Light,Bycyle,Very Large,Short,washless,Cotton
114,T-shirts,MENSWEAR,Long Sleeves,Green,Mark,versatile,Medium,Bycyle,Normal,Long,washless,Cotton
115,T-shirts,MENSWEAR,Colorful Tees,Blue,Daily,versatile,,Bycyle,Wide,Short,washless,Cotton
116,T-shirts,MENSWEAR,Trendy Shirts,Green,Daily,versatile,,Bycyle,Wide,Short,washless,Cotton
117,T-shirts,MENSWEAR,Trendy Shirts,Blue,Cool,versatile,,Bycyle,Narrow,Short,washless,Cotton
118,T-shirts,MENSWEAR,Colorful Tees,Grey,Daily,versatile,,Bycyle,Narrow,Short,washless,Cotton
119,T-shirts,MENSWEAR,Long Sleeves,White,Originals,Figure,Medium,Bendy,Very Large,Long,washless,Cotton
120,T-shirts,MENSWEAR,Long Sleeves,Black,Originals,versatile,,Bendy,Wide,Long,washless,Cotton
121,T-shirts,MENSWEAR,Trendy Shirts,White,Originals,Figure,Medium,Bycyle,Wide,Long,washless,Cotton
122,T-shirts,MENSWEAR,Trendy Shirts,Green,Originals,versatile,Medium,Bycyle,Very Large,Short,washless,Cotton
123,T-shirts,MENSWEAR,Long Sleeves,Green,Daily,versatile,Heavy,Bycyle,Normal,Long,washless,Cotton
124,T-shirts,MENSWEAR,Long Sleeves,Grey,Daily Sunday,versatile,Medium,Bycyle,Normal,Long,washless,Cotton
125,T-shirts,MENSWEAR,Long Sleeves,Brown,Daily Sunday,versatile,Medium,Bycyle,Normal,Long,washless,Cotton
126,T-shirts,MENSWEAR,Long Sleeves,Blue,Daily Sunday,versatile,Medium,Bendy,Normal,Long,washless,Cotton
127,T-shirts,MENSWEAR,Long Sleeves,Grey,Daily,versatile,,Bendy,Very Large,Long,washless,Cotton
128,T-shirts,MENSWEAR,Long Sleeves,Red,Daily,versatile,,Bendy,Very Large,Long,washless,Cotton
129,T-shirts,MENSWEAR,Long Sleeves,Grey,Daily,versatile,,Bendy,Wide,Long,washless,Cotton
130,T-shirts,MENSWEAR,Trendy Shirts,Grey,Daily,versatile,Medium,Bendy,Wide,Long,washless,Cotton
131,T-shirts,MENSWEAR,Long Sleeves,Blue,Daily,,,Bendy,Normal,Long,washless,Cotton
132,T-shirts,MENSWEAR,Long Sleeves,Red,Urban Style,versatile,,Bendy,Wide,Long,washless,Cotton
133,T-shirts,MENSWEAR,Long Sleeves,Pink,Daily,versatile,,Bycyle,Wide,Long,washless,Cotton
134,T-shirts,MENSWEAR,Long Sleeves,White,Daily,versatile,,Bendy,Wide,Long,washless,Cotton
135,T-shirts,MENSWEAR,Long Sleeves,Blue,Daily youth,versatile,,Bycyle,Normal,Long,washless,Cotton
136,T-shirts,MENSWEAR,Trendy Shirts,White,Urban Style,versatile,,Bycyle,Wide,Short,washless,Cotton
137,T-shirts,MENSWEAR,Trendy Shirts,Blue,Daily,versatile,,Bycyle,Normal,Short,washless,Cotton
138,T-shirts,MENSWEAR,Trendy Shirts,Gray,Daily,versatile,Light,Bycyle,Very Large,Short,washless,Cotton
139,T-shirts,MENSWEAR,Trendy Shirts,White,Daily,versatile,,Bendy,Wide,Long,washless,Cotton
140,T-shirts,MENSWEAR,Long Sleeves,Grey,Daily,versatile,,Bycyle,Wide,Long,washless,Cotton
141,T-shirts,MENSWEAR,Simple,Grey,Basics,versatile,,Bycyle,Wide,Short,washless,Cotton
142,T-shirts,MENSWEAR,Long Sleeves,Blue,Daily,versatile,,Bendy,Very Large,Long,washless,Cotton
143,T-shirts,MENSWEAR,Colorful Tees,Green,Daily,versatile,,Bycyle,Narrow,Short,washless,Cotton
144,T-shirts,MENSWEAR,Trendy Shirts,White,Urban Style,versatile,,Bycyle,Wide,Short,washless,Cotton
145,T-shirts,MENSWEAR,Trendy Shirts,Black,Urban Style,versatile,,Bycyle,Normal,Short,washless,Cotton
146,T-shirts,MENSWEAR,Trendy Shirts,Blue,Daily,versatile,,Bycyle,Very Large,Short,washless,Cotton
147,T-shirts,MENSWEAR,Colorful Tees,White,Cool,versatile,,Bycyle,Normal,Short,washless,Cotton
148,T-shirts,MENSWEAR,Colorful Tees,Blue,Cool,versatile,,Bycyle,Normal,Short,washless,Cotton
149,T-shirts,MENSWEAR,Long Sleeves,Blue,Daily Sunday,versatile,Medium,Bendy,Very Large,Long,washless,Cotton
150,T-shirts,MENSWEAR,Long Sleeves,Pink,Daily,versatile,,Bendy,Very Large,Long,washless,Cotton
151,T-shirts,MENSWEAR,Long Sleeves,Grey,Daily,,,Bycyle,Wide,Long,washless,Cotton
152,T-shirts,MENSWEAR,Long Sleeves,Grey,Daily,versatile,Medium,Bycyle,Wide,Long,washless,Cotton
153,T-shirts,MENSWEAR,Long Sleeves,Grey,Daily,versatile,,Bendy,Normal,Long,washless,Cotton
154,T-shirts,MENSWEAR,Long Sleeves,Blue,Daily,versatile,,High,Wide,Long,washless,Cotton
155,T-shirts,MENSWEAR,Long Sleeves,Grey,Daily,versatile,,Bendy,Very Large,Long,washless,Cotton
156,T-shirts,MENSWEAR,Trendy Shirts,Blue,Daily,versatile,Medium,Bycyle,Wide,Short,washless,Cotton
157,T-shirts,MENSWEAR,Trendy Shirts,Blue,Daily,versatile,Medium,Bendy,Wide,Long,washless,Cotton
158,T-shirts,MENSWEAR,Long Sleeves,Red,Business Based,versatile,Medium,Bendy,Normal,Long,washless,Cotton
159,T-shirts,MENSWEAR,Long Sleeves,White,Daily,versatile,,Bendy,Wide,Long,washless,Cotton
160,T-shirts,MENSWEAR,Long Sleeves,Grey,Cool,versatile,,High,Normal,Long,washless,Cotton
161,T-shirts,MENSWEAR,Long Sleeves,White,Urban Style,versatile,,Bendy,Wide,Long,washless,Cotton
162,T-shirts,MENSWEAR,Long Sleeves,Brown,Dark X,,,Bendy,Wide,Long,washless,Cotton
163,T-shirts,MENSWEAR,Long Sleeves,Black,Originals,,,High,Wide,Long,washless,Cotton
164,T-shirts,MENSWEAR,Trendy Shirts,White,Dark X,versatile,,Bycyle,Wide,Short,washless,Cotton
165,T-shirts,MENSWEAR,Long Sleeves,Grey,Daily Sunday,versatile,,Bendy,Wide,Long,washless,Cotton
166,T-shirts,MENSWEAR,Simple,Brown,Dark Quality,versatile,Medium,Bycyle,Normal,Short,washless,Cotton
167,T-shirts,MENSWEAR,Simple,Blue,Dark Quality,versatile,Medium,Bycyle,Normal,Short,washless,Cotton
168,T-shirts,MENSWEAR,Simple,White,Dark Quality,versatile,Medium,Bycyle,Normal,Short,washless,Cotton
169,T-shirts,MENSWEAR,Long Sleeves,Red,Mark,versatile,,Bendy,Normal,Long,washless,Cotton
170,T-shirts,MENSWEAR,Trendy Shirts,Green,Urban Style,versatile,,Bycyle,Wide,Short,Mid,Cotton
171,T-shirts,MENSWEAR,Trendy Shirts,Pink,Urban Style,versatile,,Bycyle,Very Large,Short,washless,Cotton
172,T-shirts,MENSWEAR,Trendy Shirts,Blue,Daily,versatile,,Bycyle,Very Large,Short,washless,Cotton
173,T-shirts,MENSWEAR,Trendy Shirts,Orange,Daily,versatile,,Bycyle,Very Large,Short,washless,Cotton
174,T-shirts,MENSWEAR,Trendy Shirts,Grey,Urban Style,versatile,,Bendy,Very Large,Short,washless,Cotton
175,T-shirts,MENSWEAR,Trendy Shirts,White,Originals,versatile,Medium,Bycyle,Wide,Short,washless,Cotton
176,T-shirts,MENSWEAR,Trendy Shirts,White,Dark X,versatile,Medium,Bycyle,Very Large,Short,washless,Cotton
177,T-shirts,MENSWEAR,Trendy Shirts,Pink,Daily youth,,,Bycyle,Wide,Short,washless,Cotton
178,T-shirts,MENSWEAR,Long Sleeves,Black,Dark X,,,High,Very Large,Long,washless,Cotton
179,T-shirts,MENSWEAR,Long Sleeves,Grey,Dark X,,,Bycyle,Wide,Long,washless,Cotton
180,T-shirts,MENSWEAR,Long Sleeves,Red,Dark X,,,Bendy,Wide,Long,washless,Decorative
181,T-shirts,MENSWEAR,Trendy Shirts,Grey,Dark X,versatile,,Bycyle,Normal,Short,washless,Cotton
182,T-shirts,MENSWEAR,Simple,White,Daily,versatile,,Bycyle,Wide,Short,washless,Cotton
183,T-shirts,MENSWEAR,Simple,Black,Daily,versatile,Medium,Bycyle,Wide,Short,washless,Cotton
184,T-shirts,MENSWEAR,Long Sleeves,White,Daily,,,Bycyle,Wide,Long,washless,Cotton
185,T-shirts,MENSWEAR,Long Sleeves,Black,Cool,,,High,Normal,Long,washless,Cotton
186,T-shirts,MENSWEAR,Long Sleeves,Grey,Daily,,,Bendy,Normal,Long,washless,Cotton
187,T-shirts,MENSWEAR,Trendy Shirts,Grey,Daily,versatile,Medium,Bycyle,Wide,Short,washless,Cotton
188,T-shirts,MENSWEAR,Long Sleeves,Black,,,,Bendy,Normal,Long,washless,Cotton
189,T-shirts,MENSWEAR,Trendy Shirts,Grey,Daily,versatile,,Bycyle,Normal,Short,washless,Cotton
190,T-shirts,MENSWEAR,Trendy Shirts,White,Daily,versatile,,Bycyle,Wide,Short,washless,Cotton
191,T-shirts,MENSWEAR,Trendy Shirts,White,Urban Style,versatile,,Bycyle,Narrow and Tall,Short,washless,Cotton
192,T-shirts,MENSWEAR,Colorful Tees,Black,Daily,versatile,,Bycyle,Narrow,Short,washless,Cotton
193,T-shirts,MENSWEAR,Trendy Shirts,White,Dark,versatile,,Bycyle,Normal,Short,washless,Cotton
194,T-shirts,MENSWEAR,Long Sleeves,White,Cool,versatile,,Bendy,Normal,Long,washless,Cotton
195,T-shirts,MENSWEAR,Long Sleeves,Purple,Daily,versatile,,Bendy,Very Large,Long,washless,Cotton
196,T-shirts,MENSWEAR,Trendy Shirts,Blue,Daily,versatile,,Bycyle,Very Large,Short,washless,Cotton
197,T-shirts,MENSWEAR,Trendy Shirts,Yellow,Daily,versatile,,Bycyle,Very Large,Short,washless,Cotton
198,T-shirts,MENSWEAR,Trendy Shirts,Black,Urban Style,versatile,Medium,Bycyle,Very Large,Short,washless,Cotton
199,T-shirts,MENSWEAR,Long Sleeves,Green,Daily,versatile,,Bendy,Wide,Long,washless,Cotton
200,T-shirts,MENSWEAR,Trendy Shirts,Black,Daily,versatile,Light,Bycyle,Very Large,Short,washless,Cotton
201,T-shirts,MENSWEAR,Colorful Tees,White,Daily,versatile,,Bycyle,Normal,Short,washless,Cotton
202,T-shirts,MENSWEAR,Colorful Tees,Green,Daily,versatile,,Bycyle,Normal,Short,washless,Cotton
203,T-shirts,MENSWEAR,Trendy Shirts,Purple,Urban Style,versatile,,Bycyle,Wide,Short,washless,Cotton
204,T-shirts,MENSWEAR,Colorful Tees,Blue,Cool,versatile,,Bycyle,Normal,Short,washless,Cotton
205,T-shirts,MENSWEAR,Colorful Tees,White,Cool,versatile,,Bycyle,Normal,Short,washless,Cotton
206,T-shirts,MENSWEAR,Trendy Shirts,Blue,Daily,versatile,Light,Bycyle,Wide,Short,washless,Cotton
207,T-shirts,MENSWEAR,Long Sleeves,Black,Originals,,,Bycyle,Normal,Long,washless,Cotton
208,T-shirts,MENSWEAR,Trendy Shirts,White,Originals,versatile,Medium,Bycyle,Wide,Long,washless,Cotton
209,T-shirts,MENSWEAR,Long Sleeves,Black,Dark X,versatile,,Bendy,Wide,Long,washless,Cotton
210,T-shirts,MENSWEAR,Simple,Green,Dark Quality,versatile,,Bycyle,Normal,Short,washless,Cotton
211,T-shirts,MENSWEAR,Long Sleeves,Blue,Mark,versatile,,Bendy,Wide,Long,washless,Cotton
212,T-shirts,MENSWEAR,Long Sleeves,White,Mark,versatile,,Bycyle,Normal,Long,washless,Cotton
213,T-shirts,MENSWEAR,Long Sleeves,Black,Mark,versatile,,Bendy,Very Large,Long,washless,Cotton
214,T-shirts,MENSWEAR,Trendy Shirts,White,Daily,versatile,,Bycyle,Normal,Short,washless,Cotton
215,T-shirts,MENSWEAR,Trendy Shirts,Green,Daily,versatile,,Bycyle,Normal,Short,washless,Cotton
216,T-shirts,MENSWEAR,Trendy Shirts,Grey,Daily,versatile,,Bycyle,Normal,Short,washless,Cotton
217,T-shirts,MENSWEAR,Long Sleeves,Blue,Daily,versatile,,Bendy,Wide,Long,Mid,Cotton
218,T-shirts,MENSWEAR,Trendy Shirts,Black,Daily youth,versatile,,High,Normal,Long,washless,Cotton
219,T-shirts,MENSWEAR,Trendy Shirts,Purple,Daily,versatile,,Bycyle,Very Large,Short,washless,Cotton
220,T-shirts,MENSWEAR,Trendy Shirts,White,Daily,versatile,,Bycyle,Very Large,Short,washless,Cotton
221,T-shirts,MENSWEAR,Trendy Shirts,Blue,Daily,Figure,Light,Bycyle,Narrow,Short,Mid,Cotton
222,T-shirts,MENSWEAR,Trendy Shirts,White,Daily,Figure,Light,Bycyle,Narrow,Short,Light,Cotton
223,T-shirts,MENSWEAR,Trendy Shirts,Green,Daily,Pressed,Light,Bycyle,Fit,Short,Mid,Cotton
224,T-shirts,MENSWEAR,Trendy Shirts,Blue,Daily,versatile,Medium,V Style,Fit,Short,Mid,Cotton
225,T-shirts,MENSWEAR,Trendy Shirts,White,Urban Style,versatile,Light,Bycyle,Narrow,Short,washless,Cotton
226,T-shirts,MENSWEAR,Trendy Shirts,Grey,Urban Style,Nubbly,Medium,Bycyle,Very Large,Short,Mid,Cotton
227,T-shirts,MENSWEAR,Long Sleeves,Grey,Urban Style,Figure,Medium,Bycyle,Narrow,Long,washless,Cotton
228,T-shirts,MENSWEAR,Trendy Shirts,Grey,Urban Style,Figure,Light,Bycyle,Fit,Short,Mid,Cotton
229,T-shirts,MENSWEAR,Simple,Blue,Basics,versatile,Medium,Bycyle,Fit,Long,Light,Cotton
230,T-shirts,MENSWEAR,Trendy Shirts,Grey,Urban Style,Nubbly,Light,Bycyle,Narrow,Short,Light,Cotton
231,T-shirts,MENSWEAR,Colorful Tees,White,Urban Style,Figure,Light,Bycyle,Narrow,Short,washless,Cotton
232,T-shirts,MENSWEAR,Colorful Tees,Green,Urban Style,Figure,Light,Bycyle,Narrow,Short,washless,Cotton
233,T-shirts,MENSWEAR,Colorful Tees,Red,Urban Style,Figure,Light,Bycyle,Narrow,Short,washless,Cotton
234,T-shirts,MENSWEAR,Long Sleeves,Black,Business Based,Pressed,Medium,Bendy,Narrow,Long,Light,Cotton
235,T-shirts,MENSWEAR,Colorful Tees,Green,Business Based,Figure,Light,Bycyle,Narrow,Short,Light,Cotton
236,T-shirts,MENSWEAR,Trendy Shirts,White,Cool,Figure,Light,Bycyle,Narrow,Short,washless,Cotton
237,T-shirts,MENSWEAR,Colorful Tees,Grey,Cool,Figure,Light,Bycyle,Narrow,Short,Light,Cotton
238,T-shirts,MENSWEAR,Trendy Shirts,Grey,Daily,Nubbly,Medium,Bycyle,Narrow,Long,Light,Cotton
239,T-shirts,MENSWEAR,Long Sleeves,Black,Urban Style,Nubbly,Medium,Bendy,Narrow,Long,washless,Decorative
240,T-shirts,MENSWEAR,Trendy Shirts,Red,Urban Style,Figure,Light,Bycyle,Narrow,Short,Mid,Cotton
